Airline,ICAO,Aiport
Southwest Airlines,SWA,DEN
Southwest Airlines,SWA,LAS
Southwest Airlines,SWA,PHX
Southwest Airlines,SWA,ATL
Southwest Airlines,SWA,MCO
Southwest Airlines,SWA,MDW
Southwest Airlines,SWA,BWI
United Airlines,UAL,SFO
United Airlines,UAL,LAX
United Airlines,UAL,DEN
United Airlines,UAL,IAH
United Airlines,UAL,EWR
United Airlines,UAL,ORD
United Airlines,UAL,IAD
Delta Airlines,DAL,ATL
Delta Airlines,DAL,DTW
Delta Airlines,DAL,MSP
Delta Airlines,DAL,LAX
Delta Airlines,DAL,SLC
Delta Airlines,DAL,JFK
American Airlines,AAL,PHL
American Airlines,AAL,PHX
American Airlines,AAL,DFW
American Airlines,AAL,JFK
American Airlines,AAL,LAX
American Airlines,AAL,ORD
American Airlines,AAL,CLT